Index,Time,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60
Cell74,0.14629258517034066,1,7,5,3,22,5,4,6,7,2,15,0,3,23,4,58,1,5,12,10,0,1,0,1,4,0,0,0,0,0,5,27,8,12,13,9,1,2,26,28,224,1445,166,2688,9123,613,188,231,675,2484,42,16,66,170,56,76,25,37,219,121,2,4,1,2,1,2,0,1,0,0,18,51,66,36,67,61,5,11,53,44
Cell75,0.14829659318637273,6,11,14,3,31,0,2,3,3,12,6,5,8,49,7,4,10,0,21,1,2,0,1,4,5,1,4,0,0,1,0,16,27,20,23,10,1,3,7,24,247,2204,777,4016,2038,3946,116,524,498,1976,45,40,57,44,122,100,8,63,689,279,0,4,1,0,0,0,0,1,0,1,15,43,31,59,205,78,12,8,39,17
Cell76,0.1503006012024048,4,6,17,6,48,0,7,0,8,6,3,5,4,13,19,68,3,1,3,1,1,1,2,1,0,2,0,2,0,1,4,3,12,75,40,36,9,4,27,74,438,1442,1166,899,826,188,349,225,463,536,88,37,33,54,69,96,91,35,339,121,1,2,1,0,2,0,0,2,1,1,13,99,36,32,105,18,3,13,49,57
Cell77,0.15230460921843686,4,6,7,5,4,1,4,0,5,4,4,22,0,11,9,10,7,2,4,8,2,0,0,3,1,1,3,1,0,0,11,4,15,19,36,9,3,1,53,35,226,4232,1192,321,3963,647,16,330,685,449,44,76,25,97,18,139,14,12,492,103,0,2,0,0,1,0,1,0,0,0,19,89,8,18,124,32,0,23,136,13
Cell78,0.15430861723446893,1,22,9,2,10,2,5,4,4,1,1,15,3,18,1,69,5,3,12,12,0,3,1,1,4,0,1,2,2,1,5,22,3,29,32,12,2,8,11,46,270,1679,1853,7211,835,756,253,216,1318,768,54,61,113,31,102,173,39,11,278,296,0,0,2,2,3,4,2,2,0,5,17,47,26,51,114,29,12,12,74,31
Cell79,0.156312625250501,3,14,14,5,15,1,3,11,1,5,4,17,7,66,4,19,3,4,6,2,1,0,2,1,0,0,0,2,0,3,9,11,11,63,8,27,0,11,51,26,268,1056,1843,1004,7302,500,86,266,2639,801,51,76,21,66,46,230,12,17,143,160,1,0,3,1,2,1,1,3,0,0,8,77,106,30,80,46,14,12,37,62
Cell80,0.15831663326653306,2,5,24,5,40,7,5,1,2,3,2,5,6,17,16,26,1,3,5,9,0,0,1,2,1,0,0,3,2,0,9,26,19,18,4,8,0,2,0,125,67,2862,5090,2969,5747,2798,197,374,1757,1661,15,101,15,130,49,47,29,27,69,130,3,0,3,0,4,3,1,0,0,0,9,37,14,99,22,91,3,3,53,55
Cell81,0.16032064128256512,0,6,6,5,25,1,8,10,4,3,15,18,7,25,2,59,3,5,9,9,0,1,2,2,0,0,0,1,0,1,19,18,37,36,15,8,2,5,0,8,236,623,885,1876,4336,2991,177,209,1133,831,44,22,9,80,30,186,23,12,97,631,2,0,1,2,2,2,0,0,0,3,0,52,32,70,8,43,5,4,31,12
Cell82,0.1623246492985972,2,9,48,4,20,13,7,7,4,6,2,14,3,54,3,13,5,9,20,11,1,0,0,0,2,0,4,1,0,3,3,10,9,12,12,15,2,0,33,18,46,5195,2120,842,4182,736,286,381,330,2694,9,56,40,166,86,114,58,22,100,49,2,1,0,2,8,3,2,1,2,0,5,27,48,27,40,11,4,16,37,63
Cell83,0.16432865731462926,7,3,8,5,31,8,0,4,3,9,5,4,3,15,10,10,2,5,2,12,3,0,1,1,5,0,1,0,1,0,12,15,18,35,9,23,1,2,5,21,151,2554,2192,4039,5670,986,364,689,640,450,17,50,17,149,15,41,16,11,196,176,1,2,0,0,3,0,0,0,2,2,9,90,19,20,43,41,8,12,48,28
Cell84,0.16633266533066132,3,14,14,6,4,4,0,15,10,21,4,3,1,30,2,15,5,0,20,7,2,0,0,3,0,0,1,3,3,1,5,4,5,32,32,6,5,0,9,14,790,4043,3160,3821,11256,2581,67,433,1854,1599,2,90,65,130,34,103,8,38,352,50,5,3,0,1,1,2,4,1,0,1,7,78,79,136,40,74,0,38,29,19
Cell85,0.16833667334669336,5,8,2,3,0,3,8,7,1,3,9,12,5,10,0,10,3,1,13,12,2,1,1,2,4,0,1,2,1,1,2,2,8,27,11,10,6,0,41,31,100,3683,1237,1663,1885,2240,300,311,731,894,20,2,9,196,30,67,9,33,76,156,0,4,1,3,0,0,1,0,2,1,26,29,51,48,71,8,8,7,11,4
Cell86,0.17034068136272543,5,6,3,1,20,12,0,29,17,8,3,15,4,28,9,30,1,4,18,15,1,0,1,1,0,0,1,1,2,0,3,0,27,72,15,23,5,2,15,35,626,6111,2105,1767,8190,1249,220,643,895,1318,128,60,64,122,49,60,85,24,237,131,2,3,1,1,1,0,1,0,1,1,3,44,48,38,140,91,6,26,8,152
Cell87,0.1723446893787575,12,3,16,7,19,3,10,2,9,4,1,5,2,27,5,39,2,2,10,19,5,0,1,2,2,0,2,0,1,0,1,6,19,15,42,4,0,3,14,8,73,4457,4338,4643,5283,3549,416,738,1700,1892,32,32,32,121,26,95,22,15,129,263,0,1,2,1,2,0,5,0,0,0,13,49,44,20,108,15,8,7,3,3
Cell88,0.17434869739478956,0,8,22,3,31,1,6,4,5,11,4,11,4,21,7,8,3,5,4,28,0,1,0,1,2,0,0,0,1,0,3,5,14,1,9,9,2,0,28,36,235,2109,2705,6564,3623,2068,84,652,2076,1157,17,72,61,49,34,93,34,21,120,178,0,2,2,0,4,0,1,1,1,0,19,76,24,24,125,24,7,18,85,56
Cell89,0.17635270541082163,3,6,15,2,34,0,8,4,2,5,8,1,8,58,11,16,7,3,6,6,2,0,0,0,2,0,5,2,0,3,2,25,15,1,22,6,9,4,23,11,434,2767,2556,4080,8925,4416,242,760,266,1511,90,70,26,99,13,60,27,10,61,179,0,1,2,0,3,0,0,2,0,1,10,28,50,4,26,53,12,11,63,12
Cell90,0.1783567134268537,2,5,23,2,7,2,9,2,3,5,11,6,4,12,9,11,3,3,9,2,0,0,2,0,3,0,0,1,3,0,11,17,19,5,13,12,0,3,6,30,224,1692,1053,5610,10968,1009,129,696,1128,3103,10,47,63,92,23,63,29,6,161,322,0,2,2,1,0,3,0,0,2,1,11,43,45,55,103,48,2,4,63,47
Cell91,0.18036072144288576,0,8,12,8,55,2,2,7,7,7,3,12,5,1,1,26,1,1,14,8,0,1,1,2,1,3,0,0,3,3,2,19,6,66,15,6,7,4,23,15,85,1935,2739,3121,5232,956,164,1105,3643,1164,30,39,51,41,59,157,18,8,145,32,0,3,1,0,0,0,0,5,0,2,16,104,43,42,145,43,6,6,84,52
Cell92,0.18236472945891782,2,6,35,1,48,4,2,12,7,10,0,11,2,1,2,39,0,0,5,20,0,1,2,0,2,0,2,0,0,1,4,6,3,20,4,0,1,5,24,5,239,2197,620,3367,3374,873,135,194,835,1865,66,94,29,120,30,57,45,20,285,60,0,0,1,2,5,4,0,4,2,0,7,70,45,22,67,33,3,13,56,41
Cell93,0.1843687374749499,1,6,9,4,41,9,0,3,9,10,8,8,5,4,2,11,8,5,4,17,0,0,4,0,0,3,2,0,2,1,3,20,15,30,8,3,6,7,30,31,208,2960,1364,403,14005,2055,168,508,187,1689,25,3,41,184,28,183,18,14,119,243,2,0,2,0,7,3,1,1,1,0,21,33,35,65,46,39,13,15,64,9
Cell94,0.18637274549098196,1,1,6,2,9,5,6,27,16,6,2,2,2,51,3,4,2,1,23,7,0,0,2,0,0,2,1,0,2,1,7,14,14,24,14,38,1,2,19,22,656,5373,855,2629,5758,2764,498,169,990,938,11,12,2,32,42,82,7,58,67,174,1,4,0,1,0,2,0,0,1,2,7,77,37,39,89,20,16,11,23,44
Cell95,0.18837675350701402,1,4,24,8,69,3,7,5,3,1,3,18,4,15,5,10,5,6,16,4,0,1,1,1,1,2,0,1,1,1,3,3,16,14,17,11,1,3,19,18,450,2075,3005,1287,16458,2679,661,220,2165,2425,27,56,39,55,33,82,27,5,78,106,0,0,0,0,0,1,0,1,5,0,12,21,38,67,88,113,4,2,85,36
Cell96,0.1903807615230461,8,25,9,1,52,2,8,7,17,4,4,10,5,23,5,23,1,3,16,7,2,1,1,0,1,0,0,1,2,0,1,16,11,18,19,7,1,0,7,31,300,6633,1908,1258,19274,2043,106,874,1089,855,20,45,12,154,80,140,26,47,152,155,0,4,1,1,1,6,1,0,1,5,4,38,80,51,56,27,7,5,64,28
Cell97,0.19238476953907813,4,12,33,4,57,5,3,5,11,7,7,5,5,19,4,11,2,2,7,3,1,2,0,1,1,1,1,3,2,2,3,8,11,25,26,2,0,5,34,9,53,2499,4250,4159,3447,1604,353,850,561,1504,85,63,16,122,33,237,44,28,40,147,1,3,1,1,3,1,2,2,4,2,28,38,67,30,178,62,13,15,45,8
Cell98,0.1943887775551102,2,8,20,1,11,0,8,9,4,10,1,3,0,10,6,4,3,1,3,3,0,0,2,1,1,0,1,1,1,0,6,15,12,3,7,7,7,4,25,28,167,2378,2904,1448,2214,1832,336,518,2484,1014,57,42,45,129,30,73,15,26,115,60,1,4,3,1,0,0,1,0,0,1,5,71,57,22,26,25,4,1,49,23
Cell99,0.19639278557114226,1,12,14,7,49,6,3,3,19,12,6,14,2,14,3,14,3,5,10,11,0,0,1,0,1,0,4,1,0,0,9,6,26,33,11,7,3,2,15,23,101,3958,521,3142,4499,2841,391,834,1037,1111,38,8,33,60,7,117,8,8,43,38,1,4,1,2,2,0,3,3,1,0,21,96,38,43,49,59,7,7,116,37
Cell100,0.19839679358717432,5,7,2,20,103,0,4,13,6,15,3,6,5,17,1,11,3,2,12,5,1,0,0,2,2,0,1,1,0,1,3,12,22,35,15,8,3,0,14,8,144,1522,1632,1238,1556,1466,222,390,1256,2400,5,105,34,79,48,90,57,24,56,231,0,1,0,2,0,0,0,0,1,2,5,37,10,14,55,29,11,38,69,27
Cell101,0.2004008016032064,3,3,11,1,16,1,3,12,7,9,9,4,3,21,2,15,1,0,17,12,1,3,0,0,0,1,0,3,2,3,0,2,18,33,17,5,2,1,3,52,23,4133,2604,1908,4922,2603,268,125,305,339,26,24,50,48,16,112,58,13,17,47,0,1,0,1,2,0,1,0,1,2,14,63,21,46,141,7,8,21,60,13
Cell102,0.20240480961923846,4,4,20,10,30,7,11,13,1,22,13,11,4,16,5,42,5,1,8,6,1,3,4,1,0,1,1,1,1,2,7,8,15,6,8,2,2,5,15,28,591,3507,990,6614,12988,1910,93,838,958,1332,9,20,40,88,46,19,20,22,127,137,2,2,0,0,6,2,1,1,1,1,4,78,70,60,79,20,4,3,80,20
Cell103,0.20440881763527052,1,23,38,3,38,2,8,10,18,10,1,1,8,35,3,6,1,0,7,5,0,2,1,0,0,1,1,1,0,1,2,14,19,9,16,20,4,1,15,35,271,1636,2038,3105,9556,1865,361,346,1595,887,4,31,29,104,6,27,57,25,114,151,2,0,0,3,0,3,1,0,0,0,4,63,33,153,66,45,25,24,49,11
Cell104,0.2064128256513026,2,12,10,5,21,10,3,1,11,5,7,14,5,15,3,28,0,4,9,7,0,2,4,2,4,2,0,2,1,1,2,12,5,4,13,3,1,0,21,6,444,7198,6646,2530,10858,3988,362,108,1191,628,32,50,49,79,2,79,21,31,54,89,1,3,1,1,1,2,1,0,1,0,5,93,85,66,102,60,7,7,14,26
Cell105,0.20841683366733466,5,28,20,0,32,0,4,2,13,11,0,5,2,23,3,47,0,2,4,7,2,0,0,4,1,2,0,0,0,1,3,9,36,22,5,13,10,0,15,27,154,1370,966,1254,764,1018,315,318,543,1036,2,15,10,44,33,93,31,10,143,113,0,0,1,2,0,1,1,0,0,1,2,6,35,26,12,70,1,14,24,31
Cell106,0.21042084168336672,7,21,5,10,24,6,10,13,13,2,18,21,4,6,4,9,2,2,10,8,2,0,1,1,3,0,4,2,1,2,6,2,6,6,0,23,0,0,2,31,156,1475,1242,2265,17613,619,275,434,2578,1546,71,26,9,142,6,55,41,36,13,68,2,6,0,0,7,1,1,0,0,5,2,54,38,18,60,111,15,4,36,3
Cell107,0.2124248496993988,2,11,9,6,82,9,3,16,3,4,8,6,2,46,1,23,1,2,7,15,1,0,0,0,1,0,1,0,0,1,1,21,27,10,1,4,1,0,3,11,413,6580,1392,5391,4695,1227,185,75,276,571,29,58,19,34,28,171,45,26,110,96,0,4,1,0,0,2,0,0,0,0,14,73,15,36,46,79,3,9,27,25
Cell108,0.21442885771543085,0,18,31,0,12,5,16,31,2,6,3,0,7,20,3,12,4,2,13,12,0,0,1,0,1,2,3,2,2,0,4,11,27,5,9,10,5,2,9,69,219,105,2704,2774,8915,3129,46,1024,581,1147,30,45,49,92,14,96,21,21,104,86,0,1,1,0,1,0,1,1,0,1,19,42,36,35,110,28,8,9,43,110
Cell109,0.21643286573146292,6,5,23,11,21,8,5,2,30,7,1,5,4,9,3,17,1,0,10,9,2,1,0,2,3,0,1,1,1,0,2,6,9,16,13,6,5,3,4,13,143,5921,2977,3458,4192,1802,150,564,1940,910,41,23,28,17,54,39,42,25,51,118,0,0,1,0,0,2,2,0,1,0,1,40,31,80,100,43,5,8,49,78
Cell110,0.21843687374749496,2,5,18,6,2,4,11,4,11,4,1,1,2,15,3,13,5,5,2,4,0,1,1,1,1,1,1,1,1,0,7,4,7,15,27,6,3,5,7,12,29,1366,994,4110,16450,7355,270,664,1629,1206,20,46,32,24,19,41,28,48,143,42,2,0,0,1,0,0,0,0,1,1,9,26,37,32,48,28,8,7,16,17
Cell111,0.22044088176352702,2,6,19,8,60,4,6,22,15,4,7,11,1,21,2,136,3,0,7,4,0,2,3,0,0,0,0,1,0,1,11,16,4,67,13,6,1,2,24,11,236,6541,2959,6225,2257,2252,146,579,905,1521,54,17,9,25,20,82,36,25,293,49,0,3,3,3,0,0,0,0,0,0,19,32,68,20,147,70,16,21,80,86
Cell112,0.2224448897795591,2,4,24,1,20,0,2,9,24,1,1,4,9,5,3,17,6,4,5,1,0,4,1,2,0,1,0,2,3,2,0,8,9,19,12,11,1,2,13,10,120,8320,6603,3037,31387,386,416,614,752,689,30,34,23,95,22,108,15,24,33,77,1,0,0,1,1,2,5,1,1,2,9,12,95,21,124,56,2,22,13,18
Cell113,0.22444889779559116,5,3,8,2,31,5,4,5,5,13,11,4,5,11,3,18,1,0,7,11,2,3,2,1,6,3,2,2,2,0,6,4,16,17,7,5,2,2,11,12,607,2797,2068,620,18040,993,347,1217,1032,2008,13,33,10,29,7,10,29,35,69,105,0,1,2,1,1,1,1,0,2,1,5,79,78,66,114,29,2,19,109,14
Cell114,0.22645290581162322,1,8,5,1,46,7,8,7,7,9,8,5,8,29,4,10,2,5,2,9,0,1,1,0,0,2,0,3,0,1,0,12,2,9,3,11,2,4,16,18,470,2183,2998,4229,7001,4887,83,887,1554,2591,31,12,36,91,22,62,25,15,39,179,2,1,0,1,0,3,0,0,1,1,9,4,85,65,21,12,3,22,46,14
Cell115,0.2284569138276553,4,14,21,9,138,7,9,10,4,5,3,7,1,20,1,11,0,1,2,13,1,1,4,0,0,1,3,0,0,0,15,9,7,22,14,8,7,2,1,22,273,5391,3131,1756,17580,4973,68,438,3567,2314,11,105,8,23,36,62,7,8,35,110,4,3,1,4,3,0,2,0,0,1,3,53,14,62,89,42,2,31,92,20
Cell116,0.23046092184368736,2,20,20,5,55,2,10,7,19,16,3,13,2,8,1,3,1,3,1,4,0,1,2,0,0,0,0,1,0,2,7,17,12,12,15,4,2,2,13,19,482,2595,1022,1736,10703,938,216,137,1308,671,4,73,26,91,34,99,21,26,26,132,0,3,0,0,0,1,0,0,0,2,8,90,25,29,124,40,18,21,8,31
Cell117,0.23246492985971942,7,14,23,1,63,0,3,3,16,13,1,4,0,12,0,7,1,4,1,13,2,1,4,0,1,0,0,0,0,1,2,7,29,18,10,4,1,3,7,12,304,4523,629,4388,27642,2210,98,191,626,560,54,23,4,69,24,84,23,21,139,57,1,6,1,1,2,3,2,2,0,3,15,47,66,6,142,162,12,10,27,60
Cell118,0.2344689378757515,11,22,17,12,6,6,5,18,6,5,2,11,4,10,8,16,4,7,5,6,4,3,0,0,1,3,1,0,0,0,1,25,8,13,5,6,2,0,7,8,65,3067,4645,1646,3362,758,63,526,3832,899,6,23,15,31,61,182,12,23,137,144,0,1,0,2,2,2,0,0,1,1,5,20,23,10,125,53,1,9,53,16
Cell119,0.23647294589178355,0,6,17,3,38,2,7,14,47,4,2,14,2,21,2,16,2,0,0,5,0,0,0,1,0,1,0,0,3,1,1,7,23,39,16,0,2,3,21,17,786,7692,3615,3172,3632,2433,339,1062,480,2652,30,5,21,44,10,44,34,12,42,33,5,3,0,0,1,2,0,1,0,2,9,31,38,29,150,57,5,13,42,42
Cell120,0.23847695390781562,6,29,19,10,32,0,6,8,30,5,0,6,2,3,7,30,5,0,18,6,1,0,0,0,0,2,3,1,0,1,6,0,11,8,2,2,1,1,28,11,752,5580,4031,1340,4548,3059,187,639,1292,4010,42,16,50,50,26,48,21,16,61,33,0,0,0,2,1,1,2,1,2,1,0,17,57,19,295,5,4,10,12,26
Cell121,0.24048096192384769,0,15,41,9,152,2,3,18,7,6,4,4,5,17,3,13,1,5,2,13,0,3,2,2,0,0,1,1,1,0,1,6,10,51,9,12,0,3,4,16,247,6382,876,2099,10523,1736,539,488,398,1856,37,20,4,71,18,24,19,7,198,25,1,3,3,1,0,1,0,1,1,0,7,4,22,60,67,56,3,23,69,25
Cell122,0.24248496993987975,16,31,35,4,40,0,0,14,13,13,9,9,2,5,2,2,7,0,17,13,5,0,0,2,1,0,0,1,1,0,10,1,17,0,5,1,7,2,2,28,1214,5665,2149,4959,11275,1803,41,352,568,334,3,27,21,16,25,101,7,21,80,123,0,0,2,2,1,0,3,2,1,2,10,42,39,46,183,126,13,19,38,16
Cell123,0.2444889779559118,7,12,30,7,27,3,0,7,13,19,10,2,3,11,6,5,4,2,6,2,0,3,1,0,1,1,0,2,4,1,5,13,3,23,7,9,1,2,4,24,501,7134,1842,3541,17023,1877,504,684,614,753,31,28,11,5,8,88,27,5,39,32,0,2,1,3,0,1,1,3,1,1,2,8,17,27,25,14,8,8,94,30
Cell124,0.24649298597194386,3,28,22,4,31,7,12,14,18,17,3,10,2,5,2,8,1,6,1,8,1,3,1,1,3,1,4,4,0,0,4,15,7,31,9,3,5,2,25,11,603,3403,3895,4220,2673,1149,58,207,3544,4126,16,53,25,61,8,102,16,39,109,62,2,1,2,0,1,2,1,2,3,1,14,52,44,28,42,36,14,7,33,33
Cell125,0.24849699398797592,1,13,5,8,188,16,19,5,1,4,6,0,8,10,1,19,1,5,0,2,0,3,2,0,2,0,0,2,0,1,4,7,4,34,6,3,3,3,21,20,333,4987,5103,6475,5238,4244,192,628,1211,2444,6,11,6,64,28,42,33,27,50,69,0,0,3,1,0,1,1,5,2,2,10,67,21,62,5,34,6,31,56,64
Cell126,0.250501002004008,1,21,60,11,37,3,1,4,6,4,5,7,3,7,0,3,1,5,0,11,0,3,1,0,1,0,1,0,1,2,0,1,3,3,15,17,2,3,7,14,312,1302,3728,1517,7480,3574,90,294,1837,5371,50,35,8,37,26,83,20,17,40,27,3,3,1,2,0,0,1,6,1,0,5,56,39,82,118,42,7,7,12,36
Cell127,0.25250501002004005,7,18,4,24,10,2,5,1,5,3,1,4,6,8,10,10,10,5,4,1,2,0,0,1,0,1,0,0,3,2,2,13,7,4,4,1,0,4,6,22,170,1140,1449,4669,19072,3484,97,335,2472,3663,11,21,14,19,8,53,7,23,20,38,1,1,1,1,0,0,2,0,2,1,17,75,72,14,42,40,6,8,110,49
Cell128,0.2545090180360721,1,43,14,16,66,3,3,3,8,6,3,2,0,3,0,2,0,0,2,16,0,1,2,0,0,1,1,2,3,1,5,5,10,13,11,3,1,0,2,10,293,3156,4460,5922,4883,793,316,439,2947,490,61,22,28,40,11,50,15,10,115,38,1,0,1,3,1,1,2,1,2,2,11,44,32,12,59,34,7,10,53,43
Cell129,0.2565130260521042,12,40,11,7,78,4,0,7,23,3,6,7,0,0,1,5,1,0,6,3,3,2,1,1,4,2,1,1,2,2,1,21,12,17,5,1,3,2,11,14,217,2964,3909,4842,41148,6632,106,845,3514,2160,23,10,24,11,11,83,35,22,162,61,1,1,3,0,2,0,0,1,0,0,1,63,146,43,88,103,6,17,114,18
Cell130,0.25851703406813625,8,20,53,10,23,9,7,6,6,23,1,2,0,5,1,7,5,3,3,5,1,0,2,1,1,1,1,2,1,0,0,16,6,16,7,10,1,0,5,36,1009,1184,3542,148,12300,2702,388,223,1296,1610,92,23,13,55,38,87,27,11,203,41,0,0,0,1,3,0,0,0,0,0,1,83,36,32,247,22,4,6,113,5
Cell131,0.2605210420841683,3,35,13,15,30,5,5,11,13,6,1,2,4,4,3,1,5,4,3,3,1,2,0,1,2,1,1,2,0,2,3,14,0,5,4,8,4,0,12,10,245,3561,3462,1241,7180,4495,303,677,905,1640,41,17,4,33,18,67,9,22,64,70,0,1,2,0,0,0,2,1,1,3,11,6,50,108,101,32,6,3,56,46
Cell132,0.2625250501002004,3,17,10,5,74,5,4,0,5,11,0,3,0,0,2,13,5,7,3,9,1,0,2,5,2,0,0,1,0,2,8,9,16,21,10,14,1,1,6,18,531,4043,1072,5172,2738,1370,199,771,3915,782,43,35,32,33,3,38,16,4,31,79,1,1,2,0,4,0,0,1,0,2,6,27,18,46,109,50,1,19,18,28
Cell133,0.26452905811623245,1,22,7,15,60,2,1,10,11,9,4,3,2,12,0,4,1,1,5,1,0,5,4,0,2,0,2,0,2,0,8,8,3,5,12,5,0,2,14,32,104,5150,4227,3739,11536,3094,278,771,2359,439,23,28,16,52,7,59,29,39,134,14,0,0,0,2,0,1,3,2,1,1,9,78,70,11,11,38,2,14,118,12
Cell134,0.2665330661322645,3,12,20,7,47,4,1,6,15,8,4,4,3,6,0,4,3,1,0,5,0,3,4,0,2,0,0,0,1,1,3,5,13,16,9,0,1,2,3,34,625,8114,3260,2990,5422,2822,228,394,3829,5633,22,18,41,17,4,68,14,17,15,80,0,2,0,0,1,2,1,4,0,0,16,19,52,57,42,40,0,1,48,44
Cell135,0.2685370741482966,2,40,16,7,11,3,3,15,3,25,2,3,4,2,0,14,1,7,6,13,1,1,1,1,0,6,0,2,0,2,5,2,5,8,4,2,1,2,8,16,470,1942,1814,2106,9176,2621,212,503,1936,4661,13,41,27,6,18,33,33,2,49,47,1,3,0,2,3,4,3,0,3,1,2,27,30,26,46,69,4,0,20,8
Cell136,0.27054108216432865,0,38,2,10,69,6,4,10,24,14,5,1,2,15,1,16,3,1,10,4,0,0,0,2,2,2,0,0,2,1,5,5,16,42,14,3,5,3,3,12,218,5609,2933,2250,18858,3712,169,534,1081,706,14,29,1,53,16,68,52,15,101,45,2,2,3,5,0,1,3,2,3,0,5,21,18,73,23,109,11,9,20,15
Cell137,0.2725450901803607,5,12,35,18,42,5,1,32,34,8,4,5,0,3,2,0,3,0,0,4,0,0,0,2,1,2,0,2,0,0,1,2,16,28,12,0,2,5,3,15,205,3745,8165,2025,10278,5404,36,513,2586,5932,19,32,19,14,13,44,57,19,32,18,3,3,1,2,0,1,0,1,3,1,22,21,39,110,57,18,7,13,28,28
Cell138,0.2745490981963928,11,20,23,3,99,3,2,5,5,2,5,7,3,10,5,3,6,1,4,5,1,2,0,0,0,1,0,1,0,3,3,7,7,12,11,5,0,3,3,8,724,1739,3456,3710,21603,2460,216,588,1325,1065,68,19,13,42,0,44,9,25,67,56,1,0,2,0,4,2,1,1,0,1,10,56,25,31,47,57,8,17,34,29
Cell139,0.27655310621242485,12,23,18,20,24,4,1,17,36,19,2,7,1,4,3,39,0,6,2,1,2,0,1,1,0,1,1,0,3,1,5,4,9,11,3,4,0,0,10,34,105,3784,2434,5175,4937,3104,84,1191,3709,1296,12,25,44,9,27,48,11,34,60,18,1,2,1,1,4,1,0,2,0,3,2,13,39,6,118,17,2,12,141,22
Cell140,0.2785571142284569,4,40,23,12,40,7,1,5,27,17,8,6,3,7,2,37,1,0,6,3,3,1,1,0,0,0,0,0,2,1,1,4,2,9,7,7,5,0,5,12,114,1066,4277,4247,8594,2970,122,1086,2464,4546,30,20,10,38,8,8,17,8,75,104,2,4,0,0,5,3,2,0,3,0,7,39,26,63,73,33,7,14,34,59
Cell141,0.280561122244489,8,15,45,17,74,3,5,7,8,4,3,2,0,11,1,17,4,1,1,1,1,0,3,2,0,0,3,2,0,0,1,5,11,25,12,7,1,2,4,10,432,10950,7463,1037,15220,2187,330,950,749,2676,6,3,24,12,20,74,30,25,76,132,0,2,3,1,0,1,2,2,1,2,10,19,64,11,277,95,1,24,33,20
Cell142,0.282565130260521,7,22,64,16,102,3,17,9,19,7,0,3,4,9,0,10,4,2,4,6,1,2,2,4,2,0,1,1,0,1,0,4,10,11,5,4,2,1,7,37,725,4366,4213,2916,7253,2417,111,654,2747,1941,24,23,13,28,18,55,17,14,47,88,1,0,0,2,2,1,2,0,0,3,6,85,32,53,54,37,15,14,24,17
Cell143,0.28456913827655306,2,58,53,7,15,6,7,9,17,23,4,9,5,10,6,9,0,9,3,6,2,3,3,0,1,0,2,0,0,2,3,2,7,4,6,0,0,3,19,4,82,2110,3102,5895,87501,3453,281,1049,5631,1271,7,13,9,18,23,67,16,12,29,96,1,3,0,0,5,1,1,2,1,1,16,10,12,39,14,34,0,23,62,42
Cell144,0.2865731462925851,5,41,60,10,92,10,4,35,15,15,2,3,5,7,2,4,2,1,0,3,0,5,3,0,0,0,0,0,2,1,3,7,4,41,3,1,1,2,11,13,210,1634,2265,2449,10644,3548,485,100,920,7141,13,13,21,11,32,6,4,8,24,16,0,5,0,1,1,0,2,0,0,0,16,35,49,56,90,32,9,31,30,64
Cell145,0.2885771543086172,9,18,9,1,68,4,3,21,9,9,0,1,2,8,2,6,1,3,2,0,1,1,1,2,2,0,1,0,0,3,1,9,13,27,9,1,2,2,0,12,929,2828,1326,1069,9872,1707,176,1212,434,1498,21,48,10,56,11,51,5,62,6,47,0,1,1,0,0,0,0,2,0,0,9,41,27,44,102,100,9,15,30,18
Cell146,0.29058116232464926,12,43,18,13,55,9,0,25,10,9,6,7,1,20,2,2,2,1,2,2,1,2,1,1,0,2,0,2,1,1,5,9,6,5,1,18,2,0,0,7,627,4446,2937,898,8610,4715,400,678,2780,1249,43,13,5,16,9,21,19,37,64,9,0,0,2,1,1,0,1,0,0,1,4,59,53,15,31,50,2,0,31,24
Cell147,0.2925851703406813,2,12,47,7,60,11,4,6,13,9,5,8,0,12,2,11,4,0,0,15,0,0,3,0,1,0,0,0,1,1,3,6,3,28,11,14,1,0,5,9,68,2861,2524,703,6141,392,401,775,3031,1199,4,11,20,30,14,39,14,10,73,17,2,0,1,1,5,0,1,1,0,1,15,61,13,58,38,101,4,10,56,13
Cell148,0.2945891783567134,0,22,16,6,91,35,5,5,25,14,3,2,0,5,3,27,2,4,13,2,0,2,1,2,1,0,0,1,4,2,4,0,3,17,8,6,1,3,8,17,151,981,699,3426,7915,2699,233,544,2119,3303,13,14,5,27,1,104,46,13,47,46,1,2,1,1,3,1,4,1,4,1,13,137,39,47,90,40,4,13,30,22
